"","file_name_append","text","language","word","file_copy"
"257","492821_blockNr_1_taskNr_4_trialNr_10_German_recording","pof","German","p_o","492821"
"258","492821_blockNr_1_taskNr_4_trialNr_11_German_recording","paf","German","p_schwa","492821"
"259","492821_blockNr_1_taskNr_4_trialNr_12_German_recording","pif","German","p_i","492821"
"260","492821_blockNr_1_taskNr_4_trialNr_13_German_recording","pif","German","p_i","492821"
"261","492821_blockNr_1_taskNr_4_trialNr_17_German_recording","puf","German","p_u","492821"
"262","492821_blockNr_1_taskNr_4_trialNr_18_German_recording","paf","German","p_schwa","492821"
"263","492821_blockNr_1_taskNr_4_trialNr_23_German_recording","puf","German","p_u","492821"
"264","492821_blockNr_1_taskNr_4_trialNr_24_German_recording","paf","German","p_schwa","492821"
"265","492821_blockNr_1_taskNr_6_trialNr_1_spanish_recording","pof","spanish","p_o","492821"
"266","492821_blockNr_1_taskNr_6_trialNr_2_spanish_recording","puf","spanish","p_u","492821"
"267","492821_blockNr_1_taskNr_6_trialNr_3_spanish_recording","pof","spanish","p_o","492821"
"268","492821_blockNr_1_taskNr_6_trialNr_7_spanish_recording","pif","spanish","p_i","492821"
"269","492821_blockNr_1_taskNr_6_trialNr_10_spanish_recording","pif","spanish","p_i","492821"
"270","492821_blockNr_1_taskNr_6_trialNr_12_spanish_recording","paf","spanish","p_a","492821"
"271","492821_blockNr_1_taskNr_6_trialNr_14_spanish_recording","puf","spanish","p_u","492821"
"272","492821_blockNr_1_taskNr_6_trialNr_18_spanish_recording","pif","spanish","p_i","492821"
"273","492821_blockNr_1_taskNr_6_trialNr_19_spanish_recording","paf","spanish","p_a","492821"
"274","492821_blockNr_1_taskNr_6_trialNr_21_spanish_recording","paf","spanish","p_a","492821"
"275","492821_blockNr_1_taskNr_6_trialNr_23_spanish_recording","pof","spanish","p_o","492821"
"276","492821_blockNr_1_taskNr_6_trialNr_24_spanish_recording","puf","spanish","p_u","492821"
"277","492821_blockNr_1_taskNr_7_trialNr_2_english_recording","poff","english","p_o","492821"
"278","492821_blockNr_1_taskNr_7_trialNr_3_english_recording","poof","english","p_u","492821"
"279","492821_blockNr_1_taskNr_7_trialNr_4_english_recording","peef","english","p_i","492821"
"280","492821_blockNr_1_taskNr_7_trialNr_9_english_recording","poff","english","p_o","492821"
"281","492821_blockNr_1_taskNr_7_trialNr_10_english_recording","puff","english","p_schwa","492821"
"282","492821_blockNr_1_taskNr_7_trialNr_12_english_recording","puff","english","p_schwa","492821"
"283","492821_blockNr_1_taskNr_7_trialNr_13_english_recording","poof","english","p_u","492821"
"284","492821_blockNr_1_taskNr_7_trialNr_15_english_recording","poff","english","p_o","492821"
"285","492821_blockNr_1_taskNr_7_trialNr_18_english_recording","peef","english","p_i","492821"
"286","492821_blockNr_1_taskNr_7_trialNr_20_english_recording","puff","english","p_schwa","492821"
"287","492821_blockNr_1_taskNr_7_trialNr_23_english_recording","poof","english","p_u","492821"
"288","492821_blockNr_1_taskNr_7_trialNr_24_english_recording","peef","english","p_i","492821"
"289","492824_blockNr_1_taskNr_3_trialNr_1_German_recording","puf","German","p_u","492824"
